PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Anthony Edwards	MIN	MIN vs. LAL	12/02/2024	W	27	8	3	13	23.1	1	5	20.0	1	2	50.0	0	7	7	3	2	0	3	1	1	23.9
Julius Randle	MIN	MIN vs. LAL	12/02/2024	W	24	18	6	13	46.2	2	3	66.7	4	4	100	1	4	5	3	2	0	1	3	7	33.5
Naz Reid	MIN	MIN vs. LAC	11/29/2024	W	23	8	3	9	33.3	1	6	16.7	1	1	100	0	6	6	1	1	2	1	0	-2	24.7
Nickeil Alexander-Walker	MIN	MIN vs. LAC	11/29/2024	W	28	12	4	10	40.0	2	6	33.3	2	2	100	3	7	10	1	2	0	3	4	-1	28.5
Julius Randle	MIN	MIN vs. LAC	11/29/2024	W	30	11	4	9	44.4	1	5	20.0	2	2	100	0	10	10	4	0	0	3	2	-5	26.0
Anthony Edwards	MIN	MIN vs. LAC	11/29/2024	W	36	21	7	21	33.3	4	9	44.4	3	5	60.0	2	2	4	3	2	0	4	0	-5	32.3
Jaden McDaniels	MIN	MIN vs. LAC	11/29/2024	W	25	11	4	6	66.7	1	3	33.3	2	2	100	2	1	3	5	0	2	2	1	-2	26.1
Mike Conley	MIN	MIN vs. LAC	11/29/2024	W	33	13	3	7	42.9	3	5	60.0	4	4	100	0	2	2	3	2	0	3	3	7	22.9
Rudy Gobert	MIN	MIN vs. LAC	11/29/2024	W	43	8	3	7	42.9	0	0	-	2	4	50.0	4	8	12	3	1	1	3	3	9	29.9
Donte DiVincenzo	MIN	MIN vs. LAC	11/29/2024	W	22	9	3	6	50.0	3	5	60.0	0	0	-	0	2	2	5	0	0	2	1	4	16.9
Naz Reid	MIN	MIN vs. SAC	11/27/2024	L	24	7	3	7	42.9	0	3	0.0	1	2	50.0	0	3	3	1	3	3	3	3	-5	27.1
Donte DiVincenzo	MIN	MIN vs. SAC	11/27/2024	L	25	5	2	7	28.6	1	6	16.7	0	0	-	0	3	3	3	0	0	2	0	-9	11.1
Nickeil Alexander-Walker	MIN	MIN vs. SAC	11/27/2024	L	20	17	5	6	83.3	5	6	83.3	2	2	100	0	2	2	3	1	2	0	4	-4	32.9
Anthony Edwards	MIN	MIN vs. SAC	11/27/2024	L	37	29	9	24	37.5	4	9	44.4	7	8	87.5	1	4	5	5	3	0	1	0	-5	50.5
Jaden McDaniels	MIN	MIN vs. SAC	11/27/2024	L	24	0	0	3	0.0	0	2	0.0	0	0	-	0	2	2	2	0	0	0	4	2	5.4
Julius Randle	MIN	MIN vs. SAC	11/27/2024	L	36	21	8	14	57.1	1	5	20.0	4	4	100	1	8	9	4	2	0	4	4	-8	39.8
Mike Conley	MIN	MIN vs. SAC	11/27/2024	L	32	16	4	11	36.4	3	8	37.5	5	5	100	0	1	1	4	2	0	3	1	-11	26.2
Rudy Gobert	MIN	MIN vs. SAC	11/27/2024	L	37	9	2	2	100	0	0	-	5	6	83.3	2	5	7	3	0	4	0	3	-9	33.9
Rudy Gobert	MIN	MIN vs. HOU	11/26/2024	L	44	5	2	3	66.7	0	0	-	1	2	50.0	3	13	16	2	0	1	1	5	4	29.2
Julius Randle	MIN	MIN vs. HOU	11/26/2024	L	35	21	9	18	50.0	0	1	0.0	3	3	100	2	4	6	3	1	0	3	5	-20	32.7
Nickeil Alexander-Walker	MIN	MIN vs. HOU	11/26/2024	L	30	13	6	7	85.7	0	1	0.0	1	1	100	1	1	2	3	0	0	2	2	2	17.9
Anthony Edwards	MIN	MIN vs. HOU	11/26/2024	L	43	29	8	22	36.4	3	12	25.0	10	10	100	3	7	10	1	1	3	3	1	-14	51.5
Jaden McDaniels	MIN	MIN vs. HOU	11/26/2024	L	40	9	4	16	25.0	1	8	12.5	0	0	-	3	2	5	2	1	0	0	1	-19	21.0
Donte DiVincenzo	MIN	MIN vs. HOU	11/26/2024	L	21	3	1	5	20.0	0	4	0.0	1	2	50.0	0	1	1	3	1	0	3	3	-15	8.7
Naz Reid	MIN	MIN vs. HOU	11/26/2024	L	27	19	7	14	50.0	3	7	42.9	2	2	100	1	6	7	0	2	0	2	0	6	31.4
Rob Dillingham	MIN	MIN vs. HOU	11/26/2024	L	24	12	5	13	38.5	2	5	40.0	0	0	-	1	4	5	7	0	0	3	1	26	25.5
Rudy Gobert	MIN	MIN @ BOS	11/24/2024	L	34	10	4	5	80.0	0	0	-	2	2	100	8	12	20	0	0	0	0	2	-4	34.0
Donte DiVincenzo	MIN	MIN @ BOS	11/24/2024	L	29	11	4	8	50.0	3	6	50.0	0	0	-	0	3	3	2	1	1	2	1	-2	21.6
Anthony Edwards	MIN	MIN @ BOS	11/24/2024	L	39	28	9	21	42.9	6	11	54.5	4	4	100	0	9	9	7	0	0	3	3	2	46.3
Naz Reid	MIN	MIN @ BOS	11/24/2024	L	26	5	2	9	22.2	1	6	16.7	0	0	-	0	5	5	2	1	0	2	3	10	15.0
