PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Al Horford	BOS	BOS vs. TOR	12/31/2024	W	21	0	0	7	0.0	0	6	0.0	0	0	-	0	6	6	4	2	0	0	1	20	19.2
Jordan Walsh	BOS	BOS vs. IND	12/29/2024	L	19	0	0	2	0.0	0	1	0.0	0	2	0.0	1	2	3	0	1	1	0	2	4	9.6
Sam Hauser	BOS	BOS vs. IND	12/29/2024	L	20	9	3	6	50.0	3	6	50.0	0	0	-	0	0	0	3	1	0	0	1	0	16.5
Derrick White	BOS	BOS vs. IND	12/29/2024	L	39	17	7	15	46.7	3	11	27.3	0	0	-	1	2	3	3	0	1	1	4	-20	27.1
Al Horford	BOS	BOS vs. IND	12/29/2024	L	31	5	2	12	16.7	1	10	10.0	0	0	-	0	5	5	3	0	0	0	5	-14	15.5
Jaylen Brown	BOS	BOS vs. IND	12/29/2024	L	36	31	13	21	61.9	2	6	33.3	3	5	60.0	0	4	4	6	1	0	2	3	-10	45.8
Jayson Tatum	BOS	BOS vs. IND	12/29/2024	L	41	22	8	17	47.1	2	10	20.0	4	5	80.0	2	7	9	6	3	1	3	3	-21	50.8
Luke Kornet	BOS	BOS vs. IND	12/29/2024	L	14	1	0	1	0.0	0	0	-	1	2	50.0	1	8	9	0	0	3	0	0	-3	20.8
Payton Pritchard	BOS	BOS vs. IND	12/29/2024	L	28	21	7	13	53.8	5	8	62.5	2	2	100	1	3	4	3	0	0	2	2	-2	28.3
Jayson Tatum	BOS	BOS vs. IND	12/27/2024	W	32	22	7	15	46.7	3	10	30.0	5	6	83.3	1	12	13	4	3	0	1	2	21	51.6
Al Horford	BOS	BOS vs. IND	12/27/2024	W	20	13	4	8	50.0	3	6	50.0	2	2	100	1	4	5	2	0	1	2	0	23	23.0
Payton Pritchard	BOS	BOS vs. IND	12/27/2024	W	32	18	7	16	43.8	4	10	40.0	0	0	-	5	3	8	10	1	1	0	5	25	48.6
Jordan Walsh	BOS	BOS vs. IND	12/27/2024	W	21	9	2	3	66.7	2	3	66.7	3	4	75.0	2	3	5	2	0	1	1	2	16	20.0
Luke Kornet	BOS	BOS vs. IND	12/27/2024	W	19	3	1	2	50.0	0	0	-	1	2	50.0	2	3	5	1	1	0	1	1	11	12.5
Derrick White	BOS	BOS vs. IND	12/27/2024	W	30	9	3	8	37.5	3	8	37.5	0	0	-	0	3	3	6	0	2	2	1	24	25.6
Jaylen Brown	BOS	BOS vs. IND	12/27/2024	W	37	44	16	24	66.7	6	11	54.5	6	6	100	3	2	5	3	4	0	1	0	30	65.5
Sam Hauser	BOS	BOS vs. IND	12/27/2024	W	20	4	2	8	25.0	0	5	0.0	0	0	-	1	1	2	2	0	0	0	1	12	9.4
Payton Pritchard	BOS	BOS vs. PHI	12/25/2024	L	33	4	1	9	11.1	0	8	0.0	2	2	100	2	1	3	5	0	0	1	2	-12	14.1
Al Horford	BOS	BOS vs. PHI	12/25/2024	L	33	17	6	13	46.2	5	10	50.0	0	0	-	0	4	4	2	0	1	0	3	22	27.8
Kristaps Porziņģis	BOS	BOS vs. PHI	12/25/2024	L	13	9	3	8	37.5	3	6	50.0	0	0	-	0	2	2	3	0	0	0	1	-13	15.9
Sam Hauser	BOS	BOS vs. PHI	12/25/2024	L	13	0	0	1	0.0	0	1	0.0	0	0	-	1	1	2	0	0	0	0	1	-12	2.4
Jaylen Brown	BOS	BOS vs. PHI	12/25/2024	L	43	23	10	23	43.5	3	6	50.0	0	3	0.0	1	6	7	4	2	0	5	4	-1	38.4
Jayson Tatum	BOS	BOS vs. PHI	12/25/2024	L	42	32	11	20	55.0	4	8	50.0	6	7	85.7	2	13	15	4	1	1	3	2	5	59.0
Derrick White	BOS	BOS vs. PHI	12/25/2024	L	33	21	8	15	53.3	5	10	50.0	0	0	-	0	3	3	4	0	0	4	3	-5	26.6
Luke Kornet	BOS	BOS vs. PHI	12/25/2024	L	20	6	3	4	75.0	0	0	-	0	1	0.0	6	4	10	2	0	2	0	1	-1	27.0
Kristaps Porziņģis	BOS	BOS @ ORL	12/23/2024	L	37	17	2	10	20.0	0	4	0.0	13	14	92.9	1	3	4	0	0	2	1	3	-8	26.8
Al Horford	BOS	BOS @ ORL	12/23/2024	L	35	8	3	10	30.0	1	5	20.0	1	2	50.0	1	5	6	2	1	0	0	0	2	21.2
Luke Kornet	BOS	BOS @ ORL	12/23/2024	L	20	4	2	4	50.0	0	0	-	0	0	-	2	3	5	0	1	1	0	0	6	16.0
Jrue Holiday	BOS	BOS @ ORL	12/23/2024	L	33	16	7	12	58.3	2	5	40.0	0	0	-	1	7	8	0	3	2	5	2	-4	35.6
Derrick White	BOS	BOS @ ORL	12/23/2024	L	40	17	5	12	41.7	3	7	42.9	4	5	80.0	0	4	4	4	3	0	5	3	-5	31.8
Payton Pritchard	BOS	BOS @ ORL	12/23/2024	L	21	7	3	7	42.9	1	5	20.0	0	0	-	1	2	3	1	0	0	2	1	-12	10.1
Sam Hauser	BOS	BOS @ ORL	12/23/2024	L	16	0	0	0	-	0	0	-	0	0	-	0	2	2	2	2	0	0	3	-5	11.4
