PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Austin Reaves	LAL	LAL vs. SAC	10/26/2024	W	34	16	7	12	58.3	2	4	50.0	0	0	-	4	3	7	6	0	0	6	3	-20	27.4
Max Christie	LAL	LAL vs. SAC	10/26/2024	W	18	2	1	4	25.0	0	2	0.0	0	0	-	0	0	0	4	2	0	2	2	-20	12.0
Dalton Knecht	LAL	LAL vs. SAC	10/26/2024	W	20	10	4	7	57.1	2	5	40.0	0	0	-	0	0	0	1	0	0	1	3	16	10.5
Jaxson Hayes	LAL	LAL vs. SAC	10/26/2024	W	14	4	2	2	100	0	0	-	0	0	-	1	1	2	1	0	0	0	2	24	7.9
Rui Hachimura	LAL	LAL vs. SAC	10/26/2024	W	37	18	5	13	38.5	2	2	100	6	6	100	4	5	9	3	0	0	1	1	17	32.3
D'Angelo Russell	LAL	LAL vs. SAC	10/26/2024	W	32	16	6	11	54.5	3	6	50.0	1	1	100	1	3	4	5	2	0	2	3	17	32.3
LeBron James	LAL	LAL vs. SAC	10/26/2024	W	34	32	12	22	54.5	4	9	44.4	4	4	100	0	14	14	10	0	1	5	3	13	61.8
Anthony Davis	LAL	LAL vs. SAC	10/26/2024	W	38	31	10	15	66.7	1	2	50.0	10	13	76.9	3	6	9	2	3	2	2	1	-22	57.8
Jaxson Hayes	LAL	LAL vs. PHX	10/25/2024	W	18	6	3	3	100	0	0	-	0	0	-	1	5	6	4	1	1	1	3	5	24.2
Gabe Vincent	LAL	LAL vs. PHX	10/25/2024	W	21	5	2	5	40.0	1	3	33.3	0	0	-	1	1	2	0	3	0	0	4	9	16.4
Rui Hachimura	LAL	LAL vs. PHX	10/25/2024	W	39	14	5	12	41.7	2	4	50.0	2	4	50.0	2	5	7	2	0	0	1	1	0	24.4
LeBron James	LAL	LAL vs. PHX	10/25/2024	W	35	21	7	13	53.8	2	5	40.0	5	8	62.5	0	4	4	8	0	0	2	1	14	35.8
Dalton Knecht	LAL	LAL vs. PHX	10/25/2024	W	13	8	2	5	40.0	2	4	50.0	2	2	100	0	1	1	2	1	0	0	0	13	15.2
Max Christie	LAL	LAL vs. PHX	10/25/2024	W	11	3	1	1	100	1	1	100	0	0	-	0	3	3	0	0	0	1	0	-17	5.6
D'Angelo Russell	LAL	LAL vs. PHX	10/25/2024	W	29	5	1	6	16.7	1	3	33.3	2	2	100	1	1	2	5	1	1	2	3	-6	18.9
Anthony Davis	LAL	LAL vs. PHX	10/25/2024	W	37	35	11	18	61.1	0	0	-	13	17	76.5	1	7	8	4	1	2	1	2	4	58.6
Austin Reaves	LAL	LAL vs. PHX	10/25/2024	W	37	26	8	12	66.7	5	7	71.4	5	6	83.3	0	4	4	8	3	1	4	4	13	50.8
Max Christie	LAL	LAL vs. MIN	10/22/2024	W	11	2	0	3	0.0	0	3	0.0	2	2	100	1	1	2	0	0	0	0	5	-5	4.4
Austin Reaves	LAL	LAL vs. MIN	10/22/2024	W	36	12	6	14	42.9	0	5	0.0	0	1	0.0	4	5	9	4	1	1	0	4	12	34.8
Jaxson Hayes	LAL	LAL vs. MIN	10/22/2024	W	15	10	4	5	80.0	0	0	-	2	2	100	3	1	4	0	0	1	0	3	-1	17.8
Gabe Vincent	LAL	LAL vs. MIN	10/22/2024	W	17	2	1	2	50.0	0	0	-	0	0	-	0	2	2	2	0	0	2	1	-2	5.4
Anthony Davis	LAL	LAL vs. MIN	10/22/2024	W	38	36	11	23	47.8	1	3	33.3	13	15	86.7	3	13	16	4	1	3	1	1	1	72.2
LeBron James	LAL	LAL vs. MIN	10/22/2024	W	35	16	7	16	43.8	1	4	25.0	1	1	100	0	5	5	4	0	2	2	3	-6	32.0
D'Angelo Russell	LAL	LAL vs. MIN	10/22/2024	W	34	9	4	12	33.3	1	7	14.3	0	0	-	0	1	1	5	2	0	1	2	15	22.7
Dalton Knecht	LAL	LAL vs. MIN	10/22/2024	W	16	5	2	4	50.0	1	3	33.3	0	0	-	0	1	1	2	1	0	1	1	7	11.2
Rui Hachimura	LAL	LAL vs. MIN	10/22/2024	W	35	18	7	14	50.0	1	4	25.0	3	4	75.0	3	2	5	1	2	1	0	2	19	34.5
