PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Kyle Filipowski	UTA	UTA vs. SAC	10/29/2024	L	25	12	5	10	50.0	2	5	40.0	0	2	0.0	2	6	8	2	1	0	2	1	-7	25.6
Lauri Markkanen	UTA	UTA vs. SAC	10/29/2024	L	17	7	3	5	60.0	1	3	33.3	0	0	-	1	2	3	1	0	0	2	1	-7	10.1
Patty Mills	UTA	UTA @ DAL	10/28/2024	L	10	0	0	2	0.0	0	1	0.0	0	0	-	0	0	0	2	1	0	0	1	1	6.0
Collin Sexton	UTA	UTA @ DAL	10/28/2024	L	28	23	9	11	81.8	2	3	66.7	3	4	75.0	0	4	4	2	1	0	2	3	1	31.8
Brice Sensabaugh	UTA	UTA @ DAL	10/28/2024	L	13	0	0	0	-	0	0	-	0	0	-	0	2	2	1	0	0	0	0	4	3.9
Keyonte George	UTA	UTA @ DAL	10/28/2024	L	36	17	6	18	33.3	1	7	14.3	4	4	100	1	4	5	5	1	0	3	1	-10	30.5
John Collins	UTA	UTA @ DAL	10/28/2024	L	19	16	5	13	38.5	3	6	50.0	3	3	100	2	4	6	3	1	1	2	5	-8	31.7
Lauri Markkanen	UTA	UTA @ DAL	10/28/2024	L	35	17	4	15	26.7	3	5	60.0	6	6	100	4	5	9	2	0	0	1	1	-4	29.8
Jordan Clarkson	UTA	UTA @ DAL	10/28/2024	L	27	13	3	11	27.3	1	6	16.7	6	8	75.0	0	5	5	4	0	0	3	1	-5	22.0
Cody Williams	UTA	UTA @ DAL	10/28/2024	L	16	2	1	5	20.0	0	3	0.0	0	0	-	2	2	4	0	0	1	1	0	-10	8.8
Taylor Hendricks	UTA	UTA @ DAL	10/28/2024	L	21	2	0	5	0.0	0	3	0.0	2	2	100	2	1	3	2	1	1	1	2	-4	13.6
Walker Kessler	UTA	UTA @ DAL	10/28/2024	L	30	12	6	11	54.5	0	0	-	0	2	0.0	4	7	11	1	2	2	0	1	-3	38.7
Collin Sexton	UTA	UTA vs. GSW	10/25/2024	L	21	12	4	13	30.8	0	2	0.0	4	5	80.0	1	1	2	1	0	0	4	1	-17	11.9
Cody Williams	UTA	UTA vs. GSW	10/25/2024	L	25	2	1	6	16.7	0	3	0.0	0	0	-	0	3	3	2	1	0	1	1	-31	10.6
Keyonte George	UTA	UTA vs. GSW	10/25/2024	L	30	12	4	12	33.3	3	8	37.5	1	1	100	1	1	2	3	2	0	5	0	-37	19.9
John Collins	UTA	UTA vs. GSW	10/25/2024	L	24	14	4	10	40.0	1	3	33.3	5	5	100	2	5	7	4	1	1	3	2	-13	31.4
Lauri Markkanen	UTA	UTA vs. GSW	10/25/2024	L	27	13	4	17	23.5	1	5	20.0	4	7	57.1	2	6	8	2	1	0	2	0	-17	26.6
Jordan Clarkson	UTA	UTA vs. GSW	10/25/2024	L	24	11	4	10	40.0	0	4	0.0	3	5	60.0	0	1	1	2	0	0	2	2	-13	13.2
Brice Sensabaugh	UTA	UTA vs. GSW	10/25/2024	L	18	9	3	9	33.3	2	7	28.6	1	1	100	2	1	3	0	0	0	1	0	-28	11.6
Taylor Hendricks	UTA	UTA vs. GSW	10/25/2024	L	25	0	0	6	0.0	0	4	0.0	0	0	-	1	6	7	0	2	2	1	3	-20	19.4
Walker Kessler	UTA	UTA vs. GSW	10/25/2024	L	20	2	1	1	100	0	0	-	0	0	-	3	6	9	2	0	1	2	1	-17	16.8
Patty Mills	UTA	UTA vs. GSW	10/25/2024	L	18	7	3	7	42.9	1	5	20.0	0	0	-	0	1	1	0	1	1	1	1	-4	13.2
Keyonte George	UTA	UTA vs. MEM	10/23/2024	L	31	12	3	18	16.7	1	6	16.7	5	9	55.6	0	2	2	7	0	0	1	2	-11	23.9
Cody Williams	UTA	UTA vs. MEM	10/23/2024	L	19	2	0	0	-	0	0	-	2	2	100	0	4	4	0	0	0	1	4	-4	5.8
John Collins	UTA	UTA vs. MEM	10/23/2024	L	18	11	5	12	41.7	0	3	0.0	1	1	100	1	4	5	0	1	1	2	5	-9	21.0
Jordan Clarkson	UTA	UTA vs. MEM	10/23/2024	L	25	17	7	16	43.8	2	5	40.0	1	2	50.0	2	3	5	7	0	1	2	1	-3	34.5
Patty Mills	UTA	UTA vs. MEM	10/23/2024	L	16	0	0	0	-	0	0	-	0	0	-	0	1	1	1	0	0	0	2	10	2.7
Brice Sensabaugh	UTA	UTA vs. MEM	10/23/2024	L	12	3	1	2	50.0	0	0	-	1	2	50.0	2	0	2	0	2	0	0	1	-12	11.4
Taylor Hendricks	UTA	UTA vs. MEM	10/23/2024	L	29	12	4	7	57.1	3	5	60.0	1	2	50.0	2	3	5	0	2	1	0	3	2	27.0
Walker Kessler	UTA	UTA vs. MEM	10/23/2024	L	30	16	6	7	85.7	0	0	-	4	5	80.0	6	8	14	1	1	5	2	2	4	50.3
Collin Sexton	UTA	UTA vs. MEM	10/23/2024	L	25	16	5	8	62.5	0	0	-	6	8	75.0	0	2	2	3	1	1	4	2	-3	24.9
Lauri Markkanen	UTA	UTA vs. MEM	10/23/2024	L	35	35	9	15	60.0	4	7	57.1	13	14	92.9	1	8	9	2	0	0	2	2	16	46.8
