PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Coby White	CHI	CHI vs. BOS	11/29/2024	L	33	11	3	11	27.3	1	7	14.3	4	5	80.0	1	5	6	4	0	0	2	0	7	22.2
Talen Horton-Tucker	CHI	CHI vs. BOS	11/29/2024	L	14	16	6	7	85.7	4	4	100	0	0	-	0	0	0	0	0	0	1	1	0	15.0
Jalen Smith	CHI	CHI vs. BOS	11/29/2024	L	14	2	1	4	25.0	0	3	0.0	0	0	-	0	7	7	1	1	1	0	0	10	17.9
Josh Giddey	CHI	CHI vs. BOS	11/29/2024	L	24	4	2	6	33.3	0	2	0.0	0	0	-	1	7	8	9	3	0	3	0	14	33.1
Ayo Dosunmu	CHI	CHI @ ORL	11/27/2024	L	31	21	10	12	83.3	1	3	33.3	0	2	0.0	1	3	4	2	1	0	0	1	-19	31.8
Josh Giddey	CHI	CHI @ ORL	11/27/2024	L	23	13	5	6	83.3	2	3	66.7	1	1	100	1	1	2	5	1	2	3	3	-21	28.9
E.J. Liddell	CHI	CHI @ ORL	11/27/2024	L	17	5	2	3	66.7	1	2	50.0	0	0	-	1	3	4	2	1	0	1	5	5	14.8
Julian Phillips	CHI	CHI @ ORL	11/27/2024	L	17	4	1	4	25.0	0	2	0.0	2	2	100	2	1	3	0	1	1	0	1	12	13.6
Lonzo Ball	CHI	CHI @ ORL	11/27/2024	L	15	6	2	3	66.7	2	3	66.7	0	0	-	0	1	1	3	4	2	2	0	7	27.7
Zach LaVine	CHI	CHI @ ORL	11/27/2024	L	31	8	3	9	33.3	1	5	20.0	1	2	50.0	1	4	5	10	1	0	2	3	-20	30.0
Nikola Vučević	CHI	CHI @ ORL	11/27/2024	L	30	19	8	20	40.0	2	6	33.3	1	2	50.0	1	10	11	4	0	0	2	2	-19	36.2
Talen Horton-Tucker	CHI	CHI @ ORL	11/27/2024	L	14	20	7	8	87.5	3	4	75.0	3	4	75.0	0	1	1	1	0	0	1	2	7	21.7
Matas Buzelis	CHI	CHI @ ORL	11/27/2024	L	25	7	2	7	28.6	1	5	20.0	2	2	100	0	2	2	0	0	1	2	6	-6	10.4
