PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Andrew Wiggins	GSW	GSW vs. DAL	12/15/2024	L	34	29	11	20	55.0	5	9	55.6	2	3	66.7	1	2	3	4	1	1	1	2	-20	43.6
Stephen Curry	GSW	GSW vs. DAL	12/15/2024	L	35	26	9	19	47.4	7	13	53.8	1	1	100	0	5	5	10	1	0	2	1	-10	48.0
Brandin Podziemski	GSW	GSW vs. DAL	12/15/2024	L	16	3	1	5	20.0	1	3	33.3	0	0	-	0	1	1	2	0	0	0	1	-1	7.2
Trayce Jackson-Davis	GSW	GSW vs. DAL	12/15/2024	L	14	5	2	2	100	0	0	-	1	3	33.3	3	3	6	3	0	0	0	3	2	16.7
Lindy Waters III	GSW	GSW vs. DAL	12/15/2024	L	21	12	4	9	44.4	4	7	57.1	0	0	-	2	3	5	2	4	0	0	3	13	33.0
Gary Payton II	GSW	GSW vs. DAL	12/15/2024	L	11	4	2	5	40.0	0	2	0.0	0	0	-	4	0	4	1	1	1	0	1	6	16.3
Kevon Looney	GSW	GSW vs. DAL	12/15/2024	L	21	4	2	3	66.7	0	0	-	0	0	-	0	3	3	6	0	0	0	0	-15	16.6
Draymond Green	GSW	GSW vs. DAL	12/15/2024	L	29	21	6	14	42.9	5	9	55.6	4	4	100	3	4	7	4	0	0	4	1	4	31.4
Brandin Podziemski	GSW	GSW @ HOU	12/11/2024	L	31	8	3	9	33.3	2	5	40.0	0	0	-	1	1	2	4	2	0	1	0	4	21.4
Lindy Waters III	GSW	GSW @ HOU	12/11/2024	L	23	8	3	6	50.0	2	4	50.0	0	0	-	0	5	5	2	1	0	3	0	-3	17.0
Kevon Looney	GSW	GSW @ HOU	12/11/2024	L	11	2	1	3	33.3	0	0	-	0	0	-	1	6	7	1	0	0	0	1	-4	11.9
Draymond Green	GSW	GSW @ HOU	12/11/2024	L	30	8	4	9	44.4	0	2	0.0	0	0	-	0	3	3	4	2	1	5	4	-2	21.6
Stephen Curry	GSW	GSW @ HOU	12/11/2024	L	34	19	8	17	47.1	3	9	33.3	0	1	0.0	1	2	3	5	2	1	1	0	4	38.1
Trayce Jackson-Davis	GSW	GSW @ HOU	12/11/2024	L	15	4	1	1	100	0	0	-	2	2	100	0	1	1	1	0	2	0	0	3	12.7
Jonathan Kuminga	GSW	GSW @ HOU	12/11/2024	L	36	20	8	20	40.0	2	6	33.3	2	6	33.3	5	2	7	1	0	1	1	2	2	31.9
Gary Payton II	GSW	GSW @ HOU	12/11/2024	L	18	4	2	4	50.0	0	2	0.0	0	0	-	3	4	7	2	2	0	2	1	-14	19.4
Buddy Hield	GSW	GSW @ HOU	12/11/2024	L	35	15	6	12	50.0	3	9	33.3	0	0	-	0	4	4	0	2	3	1	3	9	33.8
Buddy Hield	GSW	GSW vs. MIN	12/08/2024	W	35	27	10	18	55.6	7	13	53.8	0	0	-	1	3	4	2	3	0	1	2	17	42.8
Kevon Looney	GSW	GSW vs. MIN	12/08/2024	W	21	12	6	8	75.0	0	0	-	0	0	-	5	4	9	1	0	0	0	0	5	24.3
Stephen Curry	GSW	GSW vs. MIN	12/08/2024	W	35	30	8	18	44.4	5	11	45.5	9	11	81.8	0	4	4	8	1	0	3	0	14	46.8
Brandin Podziemski	GSW	GSW vs. MIN	12/08/2024	W	20	6	2	5	40.0	2	4	50.0	0	0	-	2	1	3	3	0	0	0	2	-2	14.1
Jonathan Kuminga	GSW	GSW vs. MIN	12/08/2024	W	36	20	7	16	43.8	1	4	25.0	5	8	62.5	1	6	7	2	2	3	3	2	8	43.4
