PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Wendell Moore Jr.	DET	DET @ ORL	11/23/2024	L	15	7	2	2	100	1	1	100	2	2	100	1	1	2	1	1	0	2	4	-4	11.9
Marcus Sasser	DET	DET @ ORL	11/23/2024	L	21	13	5	9	55.6	1	3	33.3	2	2	100	1	1	2	2	1	0	1	1	3	20.4
Simone Fontecchio	DET	DET @ ORL	11/23/2024	L	16	4	1	3	33.3	1	2	50.0	1	2	50.0	0	2	2	0	0	1	0	2	-20	9.4
Ronald Holland II	DET	DET @ ORL	11/23/2024	L	16	4	1	6	16.7	0	2	0.0	2	2	100	0	4	4	0	0	0	3	3	6	5.8
Tobias Harris	DET	DET @ ORL	11/23/2024	L	29	8	3	9	33.3	0	3	0.0	2	3	66.7	1	4	5	1	1	0	1	0	-19	17.5
Tobias Harris	DET	DET @ CHA	11/21/2024	L	31	26	10	16	62.5	6	9	66.7	0	0	-	3	5	8	2	1	0	2	2	-7	39.6
Jaden Ivey	DET	DET @ CHA	11/21/2024	L	24	11	3	11	27.3	1	3	33.3	4	6	66.7	3	1	4	5	2	0	3	5	-10	26.3
Tim Hardaway Jr.	DET	DET @ CHA	11/21/2024	L	21	2	1	6	16.7	0	4	0.0	0	0	-	1	0	1	1	0	0	0	1	-24	4.7
Cade Cunningham	DET	DET @ CHA	11/21/2024	L	37	27	9	26	34.6	2	9	22.2	7	9	77.8	4	3	7	10	1	0	5	2	-3	48.4
Ronald Holland II	DET	DET @ CHA	11/21/2024	L	14	6	2	5	40.0	1	3	33.3	1	1	100	0	2	2	1	0	0	2	0	7	7.9
Malik Beasley	DET	DET @ CHA	11/21/2024	L	34	16	5	15	33.3	4	12	33.3	2	2	100	1	5	6	1	0	0	1	2	11	23.7
Simone Fontecchio	DET	DET @ CHA	11/21/2024	L	21	8	3	7	42.9	2	5	40.0	0	0	-	0	2	2	1	1	0	1	0	19	13.9
Isaiah Stewart	DET	DET @ CHA	11/21/2024	L	29	13	5	5	100	0	0	-	3	4	75.0	5	4	9	3	1	2	3	4	10	34.3
Jalen Duren	DET	DET @ CHA	11/21/2024	L	24	5	2	3	66.7	0	0	-	1	1	100	2	7	9	0	1	0	1	4	-17	17.8
Wendell Moore Jr.	DET	DET @ CHA	11/21/2024	L	21	7	2	2	100	1	1	100	2	2	100	2	5	7	4	1	1	1	1	1	26.4
Tobias Harris	DET	DET vs. CHI	11/18/2024	L	32	16	7	15	46.7	1	4	25.0	1	1	100	0	2	2	0	0	0	1	2	-21	17.4
Tim Hardaway Jr.	DET	DET vs. CHI	11/18/2024	L	30	2	1	10	10.0	0	8	0.0	0	0	-	0	1	1	3	0	0	0	0	-6	7.7
Jalen Duren	DET	DET vs. CHI	11/18/2024	L	30	15	7	13	53.8	0	0	-	1	2	50.0	12	10	22	3	0	2	0	3	-7	51.9
Jaden Ivey	DET	DET vs. CHI	11/18/2024	L	32	12	3	12	25.0	1	4	25.0	5	7	71.4	0	3	3	5	0	0	0	3	-15	23.1
Isaiah Stewart	DET	DET vs. CHI	11/18/2024	L	19	7	3	4	75.0	1	2	50.0	0	0	-	0	4	4	3	1	0	2	3	0	17.3
Cade Cunningham	DET	DET vs. CHI	11/18/2024	L	36	26	8	17	47.1	4	7	57.1	6	9	66.7	0	6	6	10	0	0	3	3	-5	45.2
Simone Fontecchio	DET	DET vs. CHI	11/18/2024	L	15	6	2	4	50.0	2	4	50.0	0	0	-	0	2	2	0	0	1	2	1	7	9.4
Malik Beasley	DET	DET vs. CHI	11/18/2024	L	30	21	8	19	42.1	5	14	35.7	0	0	-	3	1	4	2	1	0	0	2	-11	31.8
Isaiah Stewart	DET	DET @ WAS	11/17/2024	W	25	9	4	8	50.0	1	2	50.0	0	0	-	2	4	6	1	0	2	0	3	3	23.7
Jaden Ivey	DET	DET @ WAS	11/17/2024	W	30	28	10	19	52.6	4	7	57.1	4	4	100	2	2	4	8	1	0	3	2	29	44.8
Wendell Moore Jr.	DET	DET @ WAS	11/17/2024	W	24	4	1	2	50.0	0	1	0.0	2	2	100	0	5	5	2	2	0	1	3	-4	18.0
Simone Fontecchio	DET	DET @ WAS	11/17/2024	W	22	6	2	6	33.3	2	5	40.0	0	0	-	0	1	1	1	1	0	0	3	-4	11.7
Ronald Holland II	DET	DET @ WAS	11/17/2024	W	15	0	0	3	0.0	0	1	0.0	0	0	-	0	2	2	0	0	0	1	2	-7	1.4
