PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Russell Westbrook	DEN	DEN @ WAS	12/07/2024	L	32	7	3	6	50.0	0	2	0.0	1	4	25.0	1	9	10	12	4	1	2	5	-9	50.0
Hunter Tyson	DEN	DEN @ WAS	12/07/2024	L	12	2	0	2	0.0	0	2	0.0	2	2	100	2	2	4	0	0	0	0	0	-5	6.8
Julian Strawther	DEN	DEN @ WAS	12/07/2024	L	33	18	7	13	53.8	2	5	40.0	2	2	100	1	2	3	2	3	2	1	3	4	38.6
Jalen Pickett	DEN	DEN @ WAS	12/07/2024	L	16	0	0	1	0.0	0	1	0.0	0	0	-	1	2	3	2	0	0	0	2	0	6.6
Michael Porter Jr.	DEN	DEN @ WAS	12/07/2024	L	36	11	5	14	35.7	0	5	0.0	1	2	50.0	1	4	5	6	1	1	2	2	-10	30.0
Russell Westbrook	DEN	DEN @ CLE	12/05/2024	L	16	10	4	9	44.4	1	3	33.3	1	2	50.0	1	2	3	3	1	1	2	1	-15	22.1
Nikola Jokić	DEN	DEN @ CLE	12/05/2024	L	39	27	13	26	50.0	0	3	0.0	1	1	100	3	17	20	11	3	0	3	3	-8	73.5
Julian Strawther	DEN	DEN @ CLE	12/05/2024	L	12	2	1	4	25.0	0	2	0.0	0	0	-	0	0	0	0	0	0	0	2	-14	2.0
Aaron Gordon	DEN	DEN @ CLE	12/05/2024	L	34	18	8	13	61.5	0	2	0.0	2	4	50.0	2	5	7	2	0	0	2	1	1	27.4
Jamal Murray	DEN	DEN @ CLE	12/05/2024	L	42	19	7	16	43.8	1	3	33.3	4	5	80.0	1	3	4	6	1	0	1	0	-10	34.8
Michael Porter Jr.	DEN	DEN @ CLE	12/05/2024	L	38	24	8	15	53.3	3	6	50.0	5	6	83.3	2	5	7	2	3	2	4	0	1	46.4
Christian Braun	DEN	DEN @ CLE	12/05/2024	L	39	10	4	10	40.0	0	3	0.0	2	2	100	0	4	4	0	2	2	2	2	2	24.8
Peyton Watson	DEN	DEN @ CLE	12/05/2024	L	18	4	1	3	33.3	1	2	50.0	1	2	50.0	0	4	4	1	2	0	1	3	-13	15.3
Nikola Jokić	DEN	DEN vs. GSW	12/03/2024	W	40	38	14	24	58.3	3	4	75.0	7	9	77.8	2	8	10	6	5	1	4	1	23	73.0
Michael Porter Jr.	DEN	DEN vs. GSW	12/03/2024	W	31	22	8	14	57.1	1	3	33.3	5	6	83.3	1	6	7	2	1	0	2	2	-1	34.4
Christian Braun	DEN	DEN vs. GSW	12/03/2024	W	36	11	3	7	42.9	0	2	0.0	5	7	71.4	0	6	6	2	1	0	3	3	23	21.2
Russell Westbrook	DEN	DEN vs. GSW	12/03/2024	W	23	7	3	7	42.9	1	3	33.3	0	0	-	0	1	1	5	0	0	1	3	-10	14.7
Jamal Murray	DEN	DEN vs. GSW	12/03/2024	W	34	12	4	12	33.3	1	3	33.3	3	3	100	0	3	3	7	1	3	1	3	4	37.1
Julian Strawther	DEN	DEN vs. GSW	12/03/2024	W	20	5	2	7	28.6	1	4	25.0	0	0	-	0	1	1	3	1	0	1	1	-4	12.7
Peyton Watson	DEN	DEN vs. GSW	12/03/2024	W	18	7	1	1	100	1	1	100	4	4	100	1	0	1	2	0	1	1	1	-17	13.2
Aaron Gordon	DEN	DEN vs. GSW	12/03/2024	W	33	15	4	6	66.7	3	4	75.0	4	6	66.7	0	9	9	5	0	0	2	0	13	31.3
Russell Westbrook	DEN	DEN @ LAC	12/01/2024	L	25	9	3	11	27.3	1	5	20.0	2	4	50.0	0	3	3	8	2	1	0	2	-7	33.6
Aaron Gordon	DEN	DEN @ LAC	12/01/2024	L	24	10	4	7	57.1	1	2	50.0	1	1	100	0	1	1	4	1	0	1	2	-7	19.2
Jamal Murray	DEN	DEN @ LAC	12/01/2024	L	38	18	7	12	58.3	2	4	50.0	2	2	100	0	0	0	7	1	0	3	1	-1	28.5
Michael Porter Jr.	DEN	DEN @ LAC	12/01/2024	L	32	18	8	11	72.7	1	1	100	1	4	25.0	0	7	7	1	0	0	1	3	3	26.9
Julian Strawther	DEN	DEN @ LAC	12/01/2024	L	19	15	6	7	85.7	2	3	66.7	1	1	100	1	1	2	2	0	0	1	2	-2	19.4
Nikola Jokić	DEN	DEN @ LAC	12/01/2024	L	39	28	12	24	50.0	2	7	28.6	2	4	50.0	3	11	14	11	1	1	5	3	-7	62.3
Christian Braun	DEN	DEN @ LAC	12/01/2024	L	36	11	5	7	71.4	0	0	-	1	3	33.3	2	5	7	2	1	0	2	2	0	23.4
Peyton Watson	DEN	DEN @ LAC	12/01/2024	L	29	13	6	9	66.7	1	2	50.0	0	0	-	2	3	5	2	1	1	1	2	1	27.0
Jamal Murray	DEN	DEN @ UTA	11/27/2024	W	36	22	10	18	55.6	1	6	16.7	1	1	100	2	2	4	8	4	0	1	2	18	49.8
Michael Porter Jr.	DEN	DEN @ UTA	11/27/2024	W	31	19	8	15	53.3	2	6	33.3	1	1	100	4	3	7	4	1	0	1	2	17	35.4
Peyton Watson	DEN	DEN @ UTA	11/27/2024	W	28	9	3	6	50.0	0	3	0.0	3	4	75.0	1	2	3	2	1	1	0	1	20	21.6
Nikola Jokić	DEN	DEN @ UTA	11/27/2024	W	34	30	13	19	68.4	2	3	66.7	2	3	66.7	3	7	10	7	1	1	1	1	20	57.5
Russell Westbrook	DEN	DEN @ UTA	11/27/2024	W	19	10	3	9	33.3	1	4	25.0	3	4	75.0	0	1	1	5	2	1	3	0	6	24.7
DeAndre Jordan	DEN	DEN @ UTA	11/27/2024	W	13	0	0	0	-	0	0	-	0	0	-	0	3	3	0	0	1	0	1	-1	6.6
Julian Strawther	DEN	DEN @ UTA	11/27/2024	W	15	9	2	4	50.0	2	4	50.0	3	4	75.0	0	0	0	1	0	1	1	4	2	12.5
Christian Braun	DEN	DEN @ UTA	11/27/2024	W	41	18	6	8	75.0	2	3	66.7	4	4	100	0	7	7	3	0	1	1	1	18	32.9
Hunter Tyson	DEN	DEN @ UTA	11/27/2024	W	16	5	1	3	33.3	1	2	50.0	2	2	100	0	4	4	0	0	2	2	2	-5	13.8
Hunter Tyson	DEN	DEN vs. NYK	11/25/2024	L	10	5	2	3	66.7	1	2	50.0	0	0	-	1	0	1	1	0	0	0	1	-4	7.7
DeAndre Jordan	DEN	DEN vs. NYK	11/25/2024	L	14	0	0	0	-	0	0	-	0	0	-	0	5	5	1	0	0	2	4	-5	5.5
Julian Strawther	DEN	DEN vs. NYK	11/25/2024	L	23	4	1	4	25.0	0	1	0.0	2	2	100	0	2	2	1	0	0	1	3	-20	6.9
Michael Porter Jr.	DEN	DEN vs. NYK	11/25/2024	L	34	18	7	17	41.2	3	7	42.9	1	1	100	4	6	10	0	0	0	2	4	-13	28.0
Russell Westbrook	DEN	DEN vs. NYK	11/25/2024	L	26	27	9	16	56.3	4	7	57.1	5	5	100	1	2	3	3	2	1	3	1	-16	41.1
Trey Alexander	DEN	DEN vs. NYK	11/25/2024	L	11	2	0	2	0.0	0	2	0.0	2	2	100	0	0	0	1	0	1	1	1	-8	5.5
Peyton Watson	DEN	DEN vs. NYK	11/25/2024	L	22	6	2	4	50.0	0	1	0.0	2	2	100	0	0	0	0	0	0	1	2	-18	5.0
Christian Braun	DEN	DEN vs. NYK	11/25/2024	L	32	14	5	10	50.0	0	0	-	4	4	100	0	1	1	2	1	1	1	0	-13	23.2
Jamal Murray	DEN	DEN vs. NYK	11/25/2024	L	31	20	6	13	46.2	1	5	20.0	7	9	77.8	1	3	4	7	1	0	0	1	-13	38.3
Nikola Jokić	DEN	DEN vs. NYK	11/25/2024	L	32	22	9	20	45.0	2	7	28.6	2	2	100	3	4	7	7	1	0	0	1	-20	43.9
Nikola Jokić	DEN	DEN @ LAL	11/23/2024	W	37	34	12	20	60.0	3	7	42.9	7	8	87.5	2	11	13	8	2	1	6	3	39	64.6
Michael Porter Jr.	DEN	DEN @ LAL	11/23/2024	W	36	24	10	15	66.7	4	7	57.1	0	1	0.0	1	10	11	4	1	0	2	2	30	44.2
Julian Strawther	DEN	DEN @ LAL	11/23/2024	W	19	6	2	3	66.7	2	2	100	0	0	-	0	2	2	1	0	0	0	3	-12	9.9
Christian Braun	DEN	DEN @ LAL	11/23/2024	W	31	16	7	7	100	2	2	100	0	0	-	0	2	2	3	1	0	2	2	13	23.9
Trey Alexander	DEN	DEN @ LAL	11/23/2024	W	10	3	1	2	50.0	1	2	50.0	0	0	-	0	0	0	0	0	0	0	1	8	3.0
Russell Westbrook	DEN	DEN @ LAL	11/23/2024	W	24	14	6	10	60.0	1	4	25.0	1	2	50.0	2	5	7	11	1	0	3	3	17	38.9
Jamal Murray	DEN	DEN @ LAL	11/23/2024	W	30	14	5	12	41.7	2	4	50.0	2	6	33.3	0	5	5	5	1	0	2	2	20	28.5
Peyton Watson	DEN	DEN @ LAL	11/23/2024	W	35	11	5	8	62.5	1	1	100	0	0	-	2	3	5	2	0	1	1	1	28	22.0
Russell Westbrook	DEN	DEN vs. DAL	11/22/2024	L	27	16	5	13	38.5	4	6	66.7	2	5	40.0	0	1	1	4	2	0	1	2	0	28.2
Jamal Murray	DEN	DEN vs. DAL	11/22/2024	L	39	14	4	16	25.0	4	11	36.4	2	2	100	0	5	5	11	0	3	3	3	0	42.5
Julian Strawther	DEN	DEN vs. DAL	11/22/2024	L	17	3	0	2	0.0	0	0	-	3	3	100	0	0	0	0	1	0	0	3	-1	6.0
Peyton Watson	DEN	DEN vs. DAL	11/22/2024	L	40	15	7	11	63.6	1	3	33.3	0	0	-	1	4	5	3	0	3	2	3	2	32.5
Nikola Jokić	DEN	DEN vs. DAL	11/22/2024	L	39	33	13	22	59.1	2	2	100	5	7	71.4	6	11	17	10	0	0	3	0	4	65.4
Michael Porter Jr.	DEN	DEN vs. DAL	11/22/2024	L	36	17	7	12	58.3	2	3	66.7	1	2	50.0	1	4	5	5	0	0	1	4	-7	29.5
Christian Braun	DEN	DEN vs. DAL	11/22/2024	L	29	17	6	9	66.7	2	3	66.7	3	6	50.0	4	1	5	0	1	1	2	2	-9	27.0
Michael Porter Jr.	DEN	DEN @ MEM	11/19/2024	W	40	24	11	21	52.4	0	4	0.0	2	6	33.3	5	6	11	3	1	1	0	3	15	47.7
