PLAYER	TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	PF	+/-	FP
Seth Curry	CHA	CHA @ MIN	11/04/2024	L	10	4	2	4	50.0	0	1	0.0	0	0	-	2	0	2	0	0	0	0	1	2	6.4
Josh Green	CHA	CHA @ MIN	11/04/2024	L	26	8	3	6	50.0	1	3	33.3	1	1	100	0	0	0	0	0	0	0	3	-20	8.0
Brandon Miller	CHA	CHA @ MIN	11/04/2024	L	21	10	3	10	30.0	2	7	28.6	2	2	100	0	2	2	1	0	1	1	2	-9	15.9
Tre Mann	CHA	CHA @ MIN	11/04/2024	L	21	10	4	8	50.0	0	0	-	2	2	100	1	3	4	6	1	0	1	3	-29	25.8
Miles Bridges	CHA	CHA @ MIN	11/04/2024	L	25	10	4	13	30.8	1	6	16.7	1	2	50.0	1	5	6	4	0	0	1	1	-10	22.2
Taj Gibson	CHA	CHA @ MIN	11/04/2024	L	16	5	2	4	50.0	1	2	50.0	0	0	-	1	3	4	0	1	0	0	1	-4	12.8
Tidjane Salaün	CHA	CHA @ MIN	11/04/2024	L	22	5	2	10	20.0	1	7	14.3	0	0	-	0	2	2	1	1	0	2	3	-10	9.9
Moussa Diabaté	CHA	CHA @ MIN	11/04/2024	L	11	2	1	1	100	0	0	-	0	0	-	1	4	5	0	0	0	1	0	-1	7.0
LaMelo Ball	CHA	CHA @ MIN	11/04/2024	L	25	19	6	15	40.0	2	8	25.0	5	7	71.4	0	2	2	2	1	0	5	3	-3	22.4
Grant Williams	CHA	CHA @ MIN	11/04/2024	L	22	5	2	4	50.0	1	3	33.3	0	0	-	0	3	3	1	2	0	1	2	-17	15.1
Cody Martin	CHA	CHA @ MIN	11/04/2024	L	19	6	2	4	50.0	0	1	0.0	2	2	100	0	3	3	1	2	0	1	3	-25	16.1
Tidjane Salaün	CHA	CHA vs. BOS	11/02/2024	L	16	0	0	3	0.0	0	2	0.0	0	0	-	0	1	1	0	0	0	0	0	-2	1.2
Brandon Miller	CHA	CHA vs. BOS	11/02/2024	L	31	16	6	18	33.3	3	9	33.3	1	2	50.0	0	4	4	6	2	1	0	4	-10	38.8
Moussa Diabaté	CHA	CHA vs. BOS	11/02/2024	L	14	1	0	0	-	0	0	-	1	2	50.0	1	3	4	1	0	0	1	3	-2	6.3
Tre Mann	CHA	CHA vs. BOS	11/02/2024	L	22	10	4	9	44.4	1	2	50.0	1	1	100	0	1	1	3	0	0	1	2	-4	14.7
LaMelo Ball	CHA	CHA vs. BOS	11/02/2024	L	37	36	15	26	57.7	6	12	50.0	0	0	-	2	2	4	6	3	0	6	6	-1	52.8
Nick Smith Jr.	CHA	CHA vs. BOS	11/02/2024	L	10	4	2	5	40.0	0	2	0.0	0	0	-	0	1	1	0	0	0	0	1	-6	5.2
Josh Green	CHA	CHA vs. BOS	11/02/2024	L	21	12	4	6	66.7	4	5	80.0	0	0	-	0	0	0	0	2	0	0	2	-9	18.0
Grant Williams	CHA	CHA vs. BOS	11/02/2024	L	34	5	2	6	33.3	1	4	25.0	0	0	-	0	3	3	2	0	0	0	5	-8	11.6
Cody Martin	CHA	CHA vs. BOS	11/02/2024	L	19	11	4	8	50.0	1	4	25.0	2	2	100	0	4	4	1	1	0	2	0	-2	18.3
Miles Bridges	CHA	CHA vs. BOS	11/02/2024	L	31	6	2	6	33.3	1	2	50.0	1	2	50.0	0	8	8	5	2	0	3	1	-4	26.1
Cody Martin	CHA	CHA vs. BOS	11/01/2024	L	26	7	3	9	33.3	1	3	33.3	0	0	-	1	2	3	1	1	1	1	2	-9	17.1
Seth Curry	CHA	CHA vs. BOS	11/01/2024	L	19	8	3	3	100	2	2	100	0	0	-	0	2	2	0	1	0	0	5	-8	13.4
Grant Williams	CHA	CHA vs. BOS	11/01/2024	L	30	6	2	6	33.3	2	5	40.0	0	0	-	2	5	7	3	1	1	2	5	-7	22.9
Nick Richards	CHA	CHA vs. BOS	11/01/2024	L	16	1	0	1	0.0	0	0	-	1	2	50.0	1	2	3	1	0	2	1	1	-6	11.1
Tidjane Salaün	CHA	CHA vs. BOS	11/01/2024	L	19	9	3	5	60.0	3	5	60.0	0	0	-	1	5	6	1	0	0	0	0	2	17.7
Moussa Diabaté	CHA	CHA vs. BOS	11/01/2024	L	16	7	3	4	75.0	0	0	-	1	2	50.0	6	1	7	1	0	0	1	2	4	15.9
Josh Green	CHA	CHA vs. BOS	11/01/2024	L	23	3	1	4	25.0	1	3	33.3	0	2	0.0	0	1	1	1	0	0	1	4	-10	4.7
